Country,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,Year,social_support,cpi_score
Finland,7769,1.34,0.0,986,596,153,393,0.0,Europe,2017,1587,86
Denmark,7.6,1383,0.0,996,592,252,0.41,0.0,Europe,2017,1573,78
Norway,7554,1488,0.0,1028,603,271,341,0.0,Europe,2017,1582,90
Iceland,7494,1.38,0.0,1026,591,354,118,0.0,Europe,2017,1624,85
Netherlands,7488,1396,0.0,999,557,322,298,0.0,Europe,2017,1522,82
Switzerland,7.48,1452,0.0,1052,572,263,343,0.0,Europe,2017,1526,89
Sweden,7343,1387,0.0,1009,574,267,373,0.0,Europe,2017,1487,83
New Zealand,7307,1303,0.0,1026,585,0.33,0.38,0.0,Australia,2017,1557,88
Canada,7278,1365,0.0,1039,584,285,308,0.0,North America,2017,1505,90
Austria,7246,1376,0.0,1016,532,244,226,0.0,Europe,2017,1475,79
Australia,7228,1372,0.0,1036,557,332,0.29,0.0,Australia,2017,1548,64
Costa Rica,7167,1034,0.0,963,558,144,93,0.0,South America,2017,1441,58
Israel,7139,1276,0.0,1029,371,261,82,0.0,Asia,2017,1455,75
Luxembourg,7.09,1609,0.0,1012,526,194,316,0.0,Europe,2017,1479,30
United Kingdom,7054,1333,0.0,996,0.45,348,278,0.0,Europe,2017,1538,74
Ireland,7021,1499,0.0,999,516,298,0.31,0.0,Europe,2017,1553,40
Germany,6985,1373,0.0,987,495,261,265,0.0,Europe,2017,1454,81
Belgium,6923,1356,0.0,986,473,0.16,0.21,0.0,Europe,2017,1504,73
United States,6892,1433,0.0,874,454,0.28,128,0.0,North America,2017,1457,77
United Arab Emirates,6825,1503,0.0,825,598,262,182,0.0,Asia,2017,1.31,66
Malta,6726,1.3,0.0,999,564,375,151,0.0,Europe,2017,1.52,81
Mexico,6595,1.07,0.0,861,433,74,73,0.0,North America,2017,1323,17
France,6592,1324,0.0,1045,436,111,183,0.0,Europe,2017,1472,84
Chile,6444,1159,0.0,0.92,357,187,56,0.0,South America,2017,1369,38
Guatemala,6436,0.8,0.0,746,535,175,78,0.0,South America,2017,1269,81
Saudi Arabia,6375,1403,0.0,795,439,0.08,132,0.0,Asia,2017,1357,66
Spain,6354,1286,0.0,1062,362,153,79,0.0,Europe,2017,1484,69
Panama,6321,1149,0.0,0.91,516,109,54,0.0,South America,2017,1442,36
Brazil,6.3,1004,0.0,802,0.39,99,86,0.0,South America,2017,1439,71
Uruguay,6293,1124,0.0,891,523,127,0.15,0.0,South America,2017,1465,37
Singapore,6262,1572,0.0,1141,556,271,453,0.0,Asia,2017,1463,35
El Salvador,6253,794,0.0,789,0.43,93,74,0.0,South America,2017,1242,46
Italy,6223,1294,0.0,1039,231,158,0.03,0.0,Europe,2017,1488,58
Bahrain,6199,1362,0.0,871,536,255,0.11,0.0,Asia,2017,1368,55
Slovakia,6198,1246,0.0,881,334,121,14,0.0,Europe,2017,1504,41
Poland,6182,1206,0.0,884,483,117,0.05,0.0,Europe,2017,1438,36
Uzbekistan,6174,745,0.0,756,631,322,0.24,0.0,Asia,2017,1529,28
Lithuania,6149,1238,0.0,818,291,43,42,0.0,Europe,2017,1515,21
Colombia,6125,985,0.0,841,0.47,99,34,0.0,South America,2017,1.41,51
Slovenia,6118,1258,0.0,953,564,144,57,0.0,Europe,2017,1523,72
Nicaragua,6105,694,0.0,835,435,0.2,127,0.0,South America,2017,1325,31
Kosovo,6.1,882,0.0,758,489,262,6,0.0,Europe,2017,1232,43
Argentina,6086,1092,0.0,881,471,66,0.05,0.0,South America,2017,1432,47
Romania,6.07,1162,0.0,825,462,83,5,0.0,Europe,2017,1232,33
Cyprus,6046,1263,0.0,1042,406,0.19,41,0.0,Asia,2017,1223,30
Ecuador,6028,912,0.0,868,498,126,87,0.0,South America,2017,1312,30
Kuwait,6021,1.5,0.0,808,493,142,97,0.0,Asia,2017,1319,29
Thailand,6008,1.05,0.0,828,557,359,28,0.0,Asia,2017,1409,61
Latvia,5.94,1187,0.0,812,264,75,64,0.0,Europe,2017,1465,59
Estonia,5893,1237,0.0,874,495,103,161,0.0,Europe,2017,1528,26
Jamaica,5.89,831,0.0,831,0.49,107,28,0.0,South America,2017,1478,35
Mauritius,5888,1.12,0.0,798,498,215,0.06,0.0,Africa,2017,1402,40
Japan,5886,1327,0.0,1088,445,69,0.14,0.0,Asia,2017,1419,62
Honduras,5.86,642,0.0,828,507,246,78,0.0,South America,2017,1236,49
Kazakhstan,5809,1173,0.0,729,0.41,146,96,0.0,Asia,2017,1508,49
Bolivia,5779,776,0.0,706,511,137,64,0.0,South America,2017,1209,14
Hungary,5758,1201,0.0,828,199,81,0.02,0.0,Europe,2017,1.41,29
Paraguay,5743,855,0.0,777,514,184,0.08,0.0,South America,2017,1475,39
Peru,5697,0.96,0.0,854,455,83,27,0.0,South America,2017,1274,55
Portugal,5693,1221,0.0,999,508,47,25,0.0,Europe,2017,1431,34
Pakistan,5653,677,0.0,535,313,0.22,98,0.0,Asia,2017,886,36
Russia,5648,1183,0.0,726,334,82,31,0.0,Europe,2017,1452,22
Philippines,5631,807,0.0,657,558,117,107,0.0,Asia,2017,1293,54
Serbia,5603,1004,0.0,854,282,137,39,0.0,Europe,2017,1383,70
Moldova,5529,685,0.0,739,245,181,0.0,0.0,Europe,2017,1328,37
Libya,5525,1044,0.0,673,416,133,152,0.0,Africa,2017,1303,33
Montenegro,5523,1051,0.0,871,197,142,0.08,0.0,Europe,2017,1361,41
Tajikistan,5467,493,0.0,718,389,0.23,144,0.0,Asia,2017,1098,28
Croatia,5432,1155,0.0,914,296,119,22,0.0,Europe,2017,1266,28
Dominican Republic,5425,1015,0.0,779,497,113,101,0.0,South America,2017,1401,30
Bosnia and Herzegovina,5386,945,0.0,845,212,263,6,0.0,Europe,2017,1212,32
Turkey,5373,1183,0.0,808,195,83,106,0.0,Asia,2017,1.36,48
Malaysia,5339,1221,0.0,828,508,0.26,24,0.0,Asia,2017,1171,45
Belarus,5323,1067,0.0,789,235,94,142,0.0,Europe,2017,1465,40
Greece,5287,1181,0.0,999,67,0.0,34,0.0,Europe,2017,1156,38
Mongolia,5285,948,0.0,667,317,235,38,0.0,Asia,2017,1531,48
Nigeria,5265,696,0.0,245,426,215,41,0.0,Africa,2017,1111,42
Kyrgyzstan,5261,551,0.0,723,508,0.3,23,0.0,Asia,2017,1438,62
Turkmenistan,5247,1052,0.0,657,394,244,28,0.0,Asia,2017,1538,57
Algeria,5211,1002,0.0,785,86,73,114,0.0,Africa,2017,1.16,35
Morocco,5208,801,0.0,782,418,36,76,0.0,Africa,2017,782,37
Azerbaijan,5208,1043,0.0,769,351,35,182,0.0,Asia,2017,1147,39
Lebanon,5197,987,0.0,815,216,166,27,0.0,Asia,2017,1224,39
Indonesia,5192,931,0.0,0.66,491,498,28,0.0,Asia,2017,1203,31
China,5191,1029,0.0,893,521,58,0.1,0.0,Asia,2017,1125,38
Vietnam,5175,741,0.0,851,543,147,73,0.0,Asia,2017,1346,44
Cameroon,5044,549,0.0,331,381,187,37,0.0,Africa,2017,0.91,28
Bulgaria,5011,1092,0.0,815,311,81,4,0.0,Europe,2017,1513,48
Ghana,4996,611,0.0,486,381,245,0.04,0.0,Africa,2017,868,30
Nepal,4913,446,0.0,677,439,285,89,0.0,Asia,2017,1226,25
Jordan,4906,837,0.0,815,383,0.11,0.13,0.0,Asia,2017,1225,41
Benin,4883,393,0.0,397,349,175,82,0.0,Africa,2017,437,26
Gabon,4799,1057,0.0,571,295,43,55,0.0,Africa,2017,1183,29
South Africa,4722,0.96,0.0,469,389,0.13,55,0.0,Africa,2017,1351,29
Albania,4719,947,0.0,874,383,178,27,0.0,Europe,2017,848,17
Venezuela,4707,0.96,0.0,805,154,64,47,0.0,South America,2017,1427,45
Cambodia,4.7,574,0.0,637,609,232,62,0.0,Asia,2017,1122,43
Senegal,4681,0.45,0.0,571,292,153,72,0.0,Africa,2017,1134,22
Niger,4628,138,0.0,366,318,188,102,0.0,Africa,2017,774,37
Burkina Faso,4587,331,0.0,0.38,255,177,113,0.0,Africa,2017,1056,40
Armenia,4559,0.85,0.0,815,283,95,64,0.0,Asia,2017,1055,20
Iran,4548,1.1,0.0,785,305,0.27,125,0.0,Asia,2017,842,29
Guinea,4534,0.38,0.0,375,332,207,86,0.0,South America,2017,829,34
Georgia,4519,886,0.0,752,346,43,164,0.0,Asia,2017,666,30
Kenya,4509,512,0.0,581,431,372,53,0.0,Africa,2017,983,27
Mauritania,4.49,0.57,0.0,489,66,106,88,0.0,Africa,2017,1167,26
Tunisia,4461,921,0.0,815,167,59,55,0.0,Africa,2017,1.0,33
Bangladesh,4456,562,0.0,723,527,166,143,0.0,Asia,2017,928,60
Iraq,4437,1043,0.0,574,241,148,89,0.0,Asia,2017,0.98,28
Mali,4.39,385,0.0,308,327,153,52,0.0,Africa,2017,1105,57
Sierra Leone,4374,268,0.0,242,309,252,45,0.0,Africa,2017,841,31
Sri Lanka,4366,949,0.0,831,0.47,244,47,0.0,Asia,2017,1265,36
Myanmar,4.36,0.71,0.0,555,525,566,172,0.0,Asia,2017,1181,26
Chad,4.35,0.35,0.0,192,174,198,78,0.0,Africa,2017,766,41
Ukraine,4332,0.82,0.0,739,178,187,0.01,0.0,Europe,2017,1.39,34
Ethiopia,4286,336,0.0,532,344,209,0.1,0.0,Africa,2017,1033,14
Uganda,4189,332,0.0,443,356,252,0.06,0.0,Africa,2017,1069,32
Egypt,4166,913,0.0,644,241,76,67,0.0,Africa,2017,1039,25
Zambia,4107,578,0.0,426,431,247,87,0.0,Africa,2017,1058,45
Togo,4085,275,0.0,0.41,293,177,85,0.0,Africa,2017,572,35
India,4015,755,0.0,588,498,0.2,85,0.0,Asia,2017,765,35
Liberia,3975,73,0.0,443,0.37,233,33,0.0,Africa,2017,922,21
Madagascar,3933,274,0.0,555,148,169,41,0.0,Africa,2017,916,32
Burundi,3775,46,0.0,0.38,0.22,176,0.18,0.0,Africa,2017,447,26
Zimbabwe,3663,366,0.0,433,361,151,89,0.0,Africa,2017,1114,20
Haiti,3597,323,0.0,449,26,419,0.11,0.0,South America,2017,688,27
Botswana,3488,1041,0.0,538,455,25,0.1,0.0,Africa,2017,1145,42
Malawi,3.41,191,0.0,495,443,218,89,0.0,Africa,2017,0.56,15
Yemen,3.38,287,0.0,463,143,108,77,0.0,Asia,2017,1163,54
Rwanda,3334,359,0.0,614,555,217,411,0.0,Africa,2017,711,36
Tanzania,3231,476,0.0,499,417,276,147,0.0,Africa,2017,885,20
Afghanistan,3203,0.35,0.0,361,0.0,158,25,0.0,Asia,2017,517,32
