Country,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,Year,social_support,cpi_score
Finland,7632,1305,0.0,874,681,202,393,0.0,Europe,2018,1592,85
Norway,7594,1456,0.0,861,686,286,0.34,0.0,Europe,2018,1582,88
Denmark,7555,1351,0.0,868,683,284,408,0.0,Europe,2018,1.59,85
Iceland,7495,1343,0.0,914,677,353,138,0.0,Europe,2018,1644,77
Switzerland,7487,1.42,0.0,927,0.66,256,357,0.0,Europe,2018,1549,82
Netherlands,7441,1361,0.0,878,638,333,295,0.0,Europe,2018,1488,85
Canada,7328,1.33,0.0,896,653,321,291,0.0,North America,2018,1532,84
New Zealand,7324,1268,0.0,876,669,365,389,0.0,Australia,2018,1601,89
Sweden,7314,1355,0.0,913,659,285,383,0.0,Europe,2018,1501,82
Australia,7272,1.34,0.0,0.91,647,361,302,0.0,Australia,2018,1573,75
United Kingdom,7.19,1244,0.0,888,464,262,82,0.0,Europe,2018,1433,77
Austria,7139,1341,0.0,891,617,242,224,0.0,Europe,2018,1504,59
Costa Rica,7072,1.01,0.0,817,632,143,101,0.0,South America,2018,1459,62
Ireland,6977,1448,0.0,876,614,307,306,0.0,Europe,2018,1583,82
Germany,6965,1.34,0.0,861,586,273,0.28,0.0,Europe,2018,1474,82
Belgium,6927,1324,0.0,894,583,188,0.24,0.0,Europe,2018,1483,74
Luxembourg,6.91,1576,0.0,896,632,196,321,0.0,Europe,2018,1.52,81
United States,6886,1398,0.0,819,547,291,133,0.0,North America,2018,1471,75
Israel,6814,1301,0.0,883,533,354,272,0.0,Asia,2018,1559,75
United Arab Emirates,6774,2096,0.0,0.67,284,186,312,0.0,Asia,2018,776,71
Malta,6627,1.27,0.0,884,645,376,142,0.0,Europe,2018,1525,56
France,6489,1293,0.0,908,0.52,98,176,0.0,Europe,2018,1466,29
Mexico,6488,1038,0.0,761,479,69,95,0.0,North America,2018,1252,70
Chile,6476,1131,0.0,808,431,197,61,0.0,South America,2018,1331,67
Panama,6.43,1112,0.0,759,597,125,63,0.0,South America,2018,1438,28
Brazil,6419,986,0.0,675,493,0.11,88,0.0,South America,2018,1474,49
